timestamp,user,src_ip,action
2025-09-20 09:00:05,alice,192.168.0.3,login_failed
2025-09-20 09:00:09,carol,192.168.0.17,login_success
2025-09-20 09:00:15,bob,192.168.0.10,login_success
2025-09-20 09:00:19,alice,192.168.0.45,login_success
2025-09-20 09:00:23,erin,192.168.0.7,login_success
2025-09-20 09:00:28,erin,192.168.0.29,login_success
2025-09-20 09:00:32,alice,192.168.0.3,login_success
2025-09-20 09:00:35,alice,192.168.0.15,login_success
2025-09-20 09:00:42,bob,192.168.0.34,login_success
2025-09-20 09:00:47,erin,192.168.0.3,login_success
2025-09-20 09:00:52,erin,192.168.0.14,login_success
2025-09-20 09:00:58,erin,192.168.0.28,login_success
2025-09-20 09:01:00,bob,192.168.0.30,login_success
2025-09-20 09:01:03,erin,192.168.0.19,login_success
2025-09-20 09:01:08,alice,192.168.0.50,login_success
2025-09-20 09:01:15,bob,192.168.0.46,login_success
2025-09-20 09:01:22,dave,192.168.0.23,login_success
2025-09-20 09:01:27,carol,192.168.0.11,login_success
2025-09-20 09:01:31,bob,192.168.0.50,login_success
2025-09-20 09:01:37,carol,192.168.0.8,login_success
2025-09-20 09:01:40,alice,192.168.0.26,login_failed
2025-09-20 09:01:45,alice,192.168.0.24,login_success
2025-09-20 09:01:48,carol,192.168.0.40,login_success
2025-09-20 09:01:54,carol,192.168.0.53,login_success
2025-09-20 09:01:59,alice,192.168.0.48,login_success
2025-09-20 09:02:04,dave,192.168.0.36,login_success
2025-09-20 09:02:08,alice,192.168.0.26,login_success
2025-09-20 09:02:13,alice,192.168.0.37,login_success
2025-09-20 09:02:18,carol,192.168.0.55,login_success
2025-09-20 09:02:25,erin,192.168.0.58,login_success
2025-09-20 09:02:30,carol,192.168.0.38,login_success
2025-09-20 09:02:33,bob,192.168.0.47,login_success
2025-09-20 09:02:36,alice,192.168.0.4,login_success
2025-09-20 09:02:41,bob,192.168.0.51,login_success
2025-09-20 09:02:48,carol,192.168.0.7,login_success
2025-09-20 09:02:50,bob,192.168.0.57,login_failed
